-1.000000000000000056e-01 5.200000000000000000e+02
-5.000000000000000278e-02 4.820000000000000000e+02
0.000000000000000000e+00 4.440000000000000000e+02
5.000000000000000278e-02 4.090000000000000000e+02
1.000000000000000056e-01 3.800000000000000000e+02
1.499999999999999944e-01 3.510000000000000000e+02
2.000000000000000111e-01 3.300000000000000000e+02
2.500000000000000000e-01 3.150000000000000000e+02
2.999999999999999889e-01 3.070000000000000000e+02
3.250000000000000111e-01 3.050000000000000000e+02
3.499999999999999778e-01 3.070000000000000000e+02
4.000000000000000222e-01 3.130000000000000000e+02
4.500000000000000111e-01 3.270000000000000000e+02
5.000000000000000000e-01 3.490000000000000000e+02
5.140000000000000124e-01 3.560000000000000000e+02
5.500000000000000444e-01 3.720000000000000000e+02
5.999999999999999778e-01 4.020000000000000000e+02
6.500000000000000222e-01 4.380000000000000000e+02
6.999999999999999556e-01 4.750000000000000000e+02
7.500000000000000000e-01 5.120000000000000000e+02
8.000000000000000444e-01 5.540000000000000000e+02
