Voltage Across 100ohm +	Vert leads 1-2 +	Vert leads 3-4 +	Horz leads 1-3 +	Horz leads 2-4 +	Thermo Voltage +	Temperature +	Voltage Across 100ohm -	Vert leads 1-2 -	Vert leads 3-4 -	Horz leads 1-3 -	Horz leads 2-4 -	Thermo Voltage -	Temperature -
-4.033375E-1	-2.877172E-2	-3.941653E-2	-1.252376E-1	-5.536478E-3	1.146038E-1	7.713886E+1	-4.037929E-1	2.154059E-2	8.565940E-3	-1.269631E-1	-5.535890E-3	1.139912E-1	7.717459E+1
-4.045252E-1	-2.885104E-2	-3.953754E-2	-1.256041E-1	-5.536398E-3	1.149302E-1	7.714371E+1	-4.047662E-1	2.159664E-2	8.598971E-3	-1.272560E-1	-5.535231E-3	1.142558E-1	7.721468E+1
-4.049689E-1	-2.888075E-2	-3.958635E-2	-1.257305E-1	-5.535039E-3	1.150317E-1	7.722637E+1	-4.050501E-1	2.165616E-2	8.561823E-3	-1.274176E-1	-5.536044E-3	1.143203E-1	7.716524E+1
