Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	550.65
Elapsed Live Time:	456.84
Start Time:	February 16, 2016, 03:39:36
End Time:	February 16, 2016, 03:48:46
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	128787	10978	37	490

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	68
1	-24.63956043956035	173
2	-22.96043956043947	317
3	-21.28131868131859	2992
4	-19.60219780219771	2330
5	-17.923076923076835	599
6	-16.243956043955954	563
7	-14.564835164835074	701
8	-12.885714285714196	1787
9	-11.206593406593317	2690
10	-9.527472527472437	3116
11	-7.8483516483515565	3411
12	-6.16923076923068	3897
13	-4.4901098901097996	4171
14	-2.8109890109889193	4548
15	-1.1318681318680426	4760
16	0.5472527472528377	5045
17	2.226373626373718	5129
18	3.9054945054945946	4906
19	5.584615384615475	4628
20	7.263736263736355	4698
21	8.942857142857235	4680
22	10.621978021978116	4616
23	12.301098901098989	4710
24	13.980219780219869	4939
25	15.65934065934075	5314
26	17.33846153846163	5461
27	19.01758241758251	5963
28	20.69670329670339	6479
29	22.375824175824263	7024
30	24.054945054945144	7629
31	25.734065934066024	7962
32	27.413186813186904	8554
33	29.092307692307784	9146
34	30.771428571428665	9602
35	32.450549450549545	10206
36	34.12967032967042	10507
37	35.8087912087913	11106
38	37.48791208791218	11480
39	39.16703296703305	11924
40	40.84615384615394	12241
41	42.52527472527481	12530
42	44.2043956043957	12842
43	45.88351648351657	13232
44	47.56263736263746	13150
45	49.24175824175833	13506
46	50.920879120879206	13513
47	52.600000000000094	13642
48	54.27912087912097	13520
49	55.958241758241854	13602
50	57.63736263736273	13477
51	59.316483516483615	13508
52	60.99560439560449	13497
53	62.67472527472536	13574
54	64.35384615384625	13408
55	66.03296703296712	13333
56	67.71208791208801	13279
57	69.39120879120888	13013
58	71.07032967032976	13231
59	72.74945054945064	12574
60	74.42857142857152	12753
61	76.1076923076924	12645
62	77.78681318681328	12441
63	79.46593406593416	12382
64	81.14505494505504	12269
65	82.82417582417591	12368
66	84.5032967032968	12128
67	86.18241758241767	12041
68	87.86153846153856	11982
69	89.54065934065943	11901
70	91.21978021978032	11687
71	92.89890109890119	11735
72	94.57802197802206	11620
73	96.25714285714295	11699
74	97.93626373626383	11471
75	99.61538461538471	11423
76	101.29450549450559	11345
77	102.97362637362647	11212
78	104.65274725274733	11197
79	106.33186813186822	11093
80	108.0109890109891	10720
81	109.69010989011	10712
82	111.36923076923085	10795
83	113.04835164835174	10653
84	114.72747252747263	10600
85	116.40659340659349	10580
86	118.08571428571437	10376
87	119.76483516483526	10272
88	121.44395604395615	9992
89	123.12307692307701	9907
