Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	0
Upper Discriminator:	1936
Lower Discriminator:	4
Calibration Coefficients:	-21.37163814180917	1.8679706601466992
Calibration Channels:	285	694
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	150.97
Elapsed Live Time:	128.89
Start Time:	February 18, 2016, 01:45:44
End Time:	February 18, 2016, 01:48:15
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	75250	-67258	0	576

Channel Data:
Channel	Energy	Counts
0	-21.37163814180917	14
1	-19.50366748166247	75
2	-17.635696821515772	134
3	-15.767726161369074	670
4	-13.899755501222375	804
5	-12.031784841075675	158
6	-10.163814180928977	165
7	-8.295843520782277	296
8	-6.427872860635578	921
9	-4.559902200488878	1338
10	-2.6919315403421784	1791
11	-0.8239608801954788	2144
12	1.0440097799512174	2516
13	2.911980440097917	2954
14	4.779951100244617	3435
15	6.647921760391316	3645
16	8.515892420538016	3740
17	10.383863080684716	3700
18	12.251833740831415	3356
19	14.119804400978111	2930
20	15.987775061124815	2712
21	17.85574572127151	2613
22	19.723716381418214	2373
23	21.59168704156491	2472
24	23.459657701711606	2413
25	25.32762836185831	2555
26	27.195599022005005	2713
27	29.06356968215171	2885
28	30.931540342298405	3146
29	32.79951100244511	3254
30	34.667481662591804	3519
31	36.53545232273851	3736
32	38.4034229828852	3872
33	40.2713936430319	4032
34	42.1393643031786	4261
35	44.007334963325306	4263
36	45.875305623472	4422
37	47.7432762836187	4726
38	49.611246943765394	4907
39	51.479217603912105	4858
40	53.3471882640588	4889
41	55.2151589242055	5094
42	57.08312958435219	5096
43	58.95110024449889	5015
44	60.8190709046456	5017
45	62.687041564792295	4975
46	64.55501222493899	4755
47	66.42298288508569	4866
48	68.29095354523238	4676
49	70.1589242053791	4572
50	72.02689486552579	4554
51	73.89486552567249	4536
52	75.76283618581918	4406
53	77.63080684596589	4439
54	79.49877750611259	4310
55	81.36674816625928	4328
56	83.23471882640598	4193
57	85.10268948655268	3967
58	86.97066014669939	3992
59	88.83863080684608	4084
60	90.70660146699278	3982
61	92.57457212713948	3907
62	94.44254278728619	3961
63	96.31051344743288	3801
64	98.17848410757958	3967
65	100.04645476772627	3721
66	101.91442542787297	3684
67	103.78239608801968	3748
68	105.65036674816638	3823
69	107.51833740831307	3665
70	109.38630806845978	3675
71	111.25427872860647	3679
72	113.12224938875318	3639
73	114.99022004889986	3600
74	116.85819070904657	3625
75	118.72616136919328	3471
76	120.59413202933996	3550
77	122.46210268948667	3434
78	124.33007334963338	3421
79	126.19804400978006	3421
80	128.06601466992677	3278
81	129.93398533007345	3288
82	131.80195599022016	3328
83	133.66992665036688	3089
84	135.53789731051356	3154
85	137.40586797066027	3179
86	139.27383863080695	3149
87	141.14180929095366	3032
88	143.00977995110037	3025
89	144.87775061124705	3042
90	146.74572127139376	3088
91	148.61369193154044	2957
92	150.48166259168715	3004
93	152.34963325183386	2983
94	154.21760391198055	2833
95	156.08557457212726	2826
96	157.95354523227394	2948
97	159.82151589242065	2898
98	161.68948655256736	2664
99	163.55745721271404	2775
100	165.42542787286075	2734
101	167.29339853300746	2758
102	169.16136919315414	2802
103	171.02933985330085	2732
104	172.89731051344754	2718
105	174.76528117359425	2716
106	176.63325183374096	2699
107	178.50122249388764	2708
108	180.36919315403435	2676
109	182.23716381418103	2678
110	184.10513447432774	2708
111	185.97310513447445	2647
112	187.84107579462113	2571
113	189.70904645476784	2625
114	191.57701711491453	2677
115	193.44498777506124	2563
116	195.31295843520795	2533
117	197.18092909535463	2419
118	199.04889975550134	2508
119	200.91687041564805	2509
120	202.78484107579473	2479
121	204.65281173594144	2457
122	206.52078239608812	2384
123	208.38875305623483	2341
124	210.25672371638154	2444
125	212.12469437652823	2310
126	213.99266503667494	2240
127	215.86063569682162	2307
128	217.72860635696833	2162
129	219.59657701711504	2126
130	221.46454767726172	2171
131	223.33251833740843	2186
132	225.2004889975551	2174
133	227.06845965770182	2154
134	228.93643031784853	2084
135	230.80440097799521	2094
136	232.67237163814193	2117
137	234.5403422982886	2037
138	236.40831295843532	2042
139	238.276283618582	1971
140	240.14425427872874	1928
141	242.01222493887542	1844
142	243.8801955990221	1887
143	245.74816625916884	1867
144	247.61613691931552	1936
145	249.4841075794622	1918
146	251.3520782396089	1825
147	253.22004889975562	1798
148	255.0880195599023	1854
149	256.955990220049	1778
150	258.8239608801957	1772
151	260.6919315403424	1733
152	262.5599022004891	1677
153	264.42787286063583	1680
154	266.2958435207825	1706
155	268.1638141809292	1589
156	270.03178484107593	1624
157	271.8997555012226	1591
158	273.7677261613693	1593
159	275.635696821516	1578
160	277.5036674816627	1581
161	279.3716381418094	1571
162	281.2396088019561	1517
163	283.1075794621028	1553
164	284.9755501222495	1512
165	286.8435207823962	1556
166	288.7114914425429	1546
167	290.5794621026896	1460
168	292.4474327628363	1447
169	294.31540342298297	1440
170	296.1833740831297	1539
171	298.0513447432764	1463
172	299.91931540342307	1514
173	301.7872860635698	1431
174	303.6552567237165	1394
175	305.5232273838632	1431
176	307.3911980440099	1431
177	309.2591687041566	1420
178	311.1271393643033	1354
179	312.99511002445	1406
180	314.8630806845967	1356
181	316.7310513447434	1430
182	318.59902200489006	1358
183	320.4669926650368	1382
184	322.3349633251835	1346
185	324.20293398533016	1355
186	326.0709046454769	1365
187	327.9388753056236	1350
188	329.80684596577026	1287
189	331.674816625917	1294
190	333.5427872860637	1351
191	335.41075794621037	1305
192	337.27872860635705	1293
193	339.1466992665038	1266
194	341.01466992665047	1270
195	342.88264058679715	1241
196	344.7506112469439	1284
197	346.6185819070906	1201
198	348.48655256723725	1254
199	350.354523227384	1269
200	352.2224938875307	1216
201	354.09046454767736	1200
202	355.9584352078241	1203
203	357.8264058679708	1239
204	359.69437652811746	1162
205	361.56234718826414	1116
206	363.4303178484109	1156
207	365.29828850855756	1161
208	367.16625916870424	1226
209	369.034229828851	1174
210	370.90220048899766	1149
211	372.77017114914435	1261
212	374.6381418092911	1179
213	376.50611246943777	1178
214	378.37408312958445	1135
215	380.2420537897312	1125
216	382.11002444987787	1180
217	383.97799511002455	1070
218	385.84596577017123	1104
219	387.713936430318	1152
220	389.58190709046465	1137
221	391.44987775061134	1104
222	393.3178484107581	1102
223	395.18581907090476	1048
224	397.05378973105144	1080
225	398.9217603911982	1051
226	400.78973105134486	1155
227	402.65770171149154	1165
228	404.5256723716382	1123
229	406.39364303178496	1166
230	408.26161369193164	1118
231	410.1295843520783	1076
232	411.99755501222506	1095
233	413.86552567237175	1094
234	415.7334963325184	1061
235	417.60146699266517	1099
236	419.46943765281185	1106
237	421.33740831295853	1108
238	423.20537897310527	1097
239	425.07334963325195	1087
240	426.94132029339863	1102
241	428.8092909535453	1049
242	430.67726161369205	1062
243	432.54523227383874	1146
244	434.4132029339854	1029
245	436.28117359413216	1117
246	438.14914425427884	1068
247	440.0171149144255	1076
248	441.88508557457226	1123
249	443.75305623471894	1090
250	445.6210268948656	1052
251	447.4889975550123	1082
252	449.35696821515904	1015
253	451.2249388753057	1074
254	453.0929095354524	1084
255	454.96088019559915	1079
256	456.8288508557458	1075
257	458.6968215158925	1061
