Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	334.6
Elapsed Live Time:	278.13
Start Time:	February 16, 2016, 03:25:45
End Time:	February 16, 2016, 03:31:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	71322	4485	20	490

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	35
1	-24.63956043956035	101
2	-22.96043956043947	204
3	-21.28131868131859	1595
4	-19.60219780219771	1318
5	-17.923076923076835	337
6	-16.243956043955954	298
7	-14.564835164835074	383
8	-12.885714285714196	1004
9	-11.206593406593317	1483
10	-9.527472527472437	1810
11	-7.8483516483515565	1969
12	-6.16923076923068	2138
13	-4.4901098901097996	2445
14	-2.8109890109889193	2594
15	-1.1318681318680426	2677
16	0.5472527472528377	2872
17	2.226373626373718	2900
18	3.9054945054945946	2853
19	5.584615384615475	2705
20	7.263736263736355	2618
21	8.942857142857235	2618
22	10.621978021978116	2800
23	12.301098901098989	2752
24	13.980219780219869	2836
25	15.65934065934075	3025
26	17.33846153846163	3256
27	19.01758241758251	3392
28	20.69670329670339	3865
29	22.375824175824263	4076
30	24.054945054945144	4372
31	25.734065934066024	4700
32	27.413186813186904	5017
33	29.092307692307784	5406
34	30.771428571428665	5631
35	32.450549450549545	5949
36	34.12967032967042	6309
37	35.8087912087913	6588
38	37.48791208791218	6620
39	39.16703296703305	7130
40	40.84615384615394	7140
41	42.52527472527481	7428
42	44.2043956043957	7666
43	45.88351648351657	7739
44	47.56263736263746	7774
45	49.24175824175833	7987
46	50.920879120879206	8017
47	52.600000000000094	8123
48	54.27912087912097	8300
49	55.958241758241854	8109
50	57.63736263736273	8259
51	59.316483516483615	7952
52	60.99560439560449	8293
53	62.67472527472536	8011
54	64.35384615384625	8049
55	66.03296703296712	7749
56	67.71208791208801	7751
57	69.39120879120888	7702
58	71.07032967032976	7720
59	72.74945054945064	7701
60	74.42857142857152	7723
61	76.1076923076924	7481
62	77.78681318681328	7533
63	79.46593406593416	7362
64	81.14505494505504	7483
65	82.82417582417591	7284
66	84.5032967032968	7426
67	86.18241758241767	7186
68	87.86153846153856	7247
69	89.54065934065943	6982
70	91.21978021978032	7222
71	92.89890109890119	6733
72	94.57802197802206	6800
73	96.25714285714295	6934
74	97.93626373626383	6833
75	99.61538461538471	6690
76	101.29450549450559	6648
77	102.97362637362647	6622
78	104.65274725274733	6645
79	106.33186813186822	6466
80	108.0109890109891	6449
81	109.69010989011	6426
82	111.36923076923085	6464
83	113.04835164835174	6128
84	114.72747252747263	6205
85	116.40659340659349	6154
86	118.08571428571437	6011
87	119.76483516483526	5950
88	121.44395604395615	5912
89	123.12307692307701	5823
