Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	158.25
Elapsed Live Time:	108.78
Start Time:	February 16, 2016, 03:20:24
End Time:	February 16, 2016, 03:23:03
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	263041	13674	28	492

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	98
1	-24.63956043956035	180
2	-22.96043956043947	528
3	-21.28131868131859	3921
4	-19.60219780219771	4995
5	-17.923076923076835	1053
6	-16.243956043955954	1142
7	-14.564835164835074	1480
8	-12.885714285714196	3118
9	-11.206593406593317	4097
10	-9.527472527472437	4456
11	-7.8483516483515565	4541
12	-6.16923076923068	4987
13	-4.4901098901097996	5179
14	-2.8109890109889193	5298
15	-1.1318681318680426	5492
16	0.5472527472528377	5573
17	2.226373626373718	5478
18	3.9054945054945946	5332
19	5.584615384615475	5022
20	7.263736263736355	5014
21	8.942857142857235	5077
22	10.621978021978116	5201
23	12.301098901098989	5255
24	13.980219780219869	5401
25	15.65934065934075	5731
26	17.33846153846163	5810
27	19.01758241758251	6488
28	20.69670329670339	6840
29	22.375824175824263	7198
30	24.054945054945144	7487
31	25.734065934066024	8071
32	27.413186813186904	8279
33	29.092307692307784	8619
34	30.771428571428665	8980
35	32.450549450549545	9437
36	34.12967032967042	9584
37	35.8087912087913	9861
38	37.48791208791218	9999
39	39.16703296703305	10096
40	40.84615384615394	10568
41	42.52527472527481	10597
42	44.2043956043957	10752
43	45.88351648351657	10402
44	47.56263736263746	10507
45	49.24175824175833	10808
46	50.920879120879206	10732
47	52.600000000000094	10640
48	54.27912087912097	10657
49	55.958241758241854	10466
50	57.63736263736273	10413
51	59.316483516483615	10424
52	60.99560439560449	10269
53	62.67472527472536	10247
54	64.35384615384625	10077
55	66.03296703296712	10106
56	67.71208791208801	10027
57	69.39120879120888	9958
58	71.07032967032976	9832
59	72.74945054945064	9763
60	74.42857142857152	9747
61	76.1076923076924	9677
62	77.78681318681328	9667
63	79.46593406593416	9586
64	81.14505494505504	9522
65	82.82417582417591	9777
66	84.5032967032968	9673
67	86.18241758241767	9639
68	87.86153846153856	9579
69	89.54065934065943	9432
70	91.21978021978032	9460
71	92.89890109890119	9396
72	94.57802197802206	9359
73	96.25714285714295	9125
74	97.93626373626383	9298
75	99.61538461538471	9179
76	101.29450549450559	9303
77	102.97362637362647	9165
78	104.65274725274733	9142
79	106.33186813186822	9013
80	108.0109890109891	9034
81	109.69010989011	9004
82	111.36923076923085	9076
83	113.04835164835174	8842
84	114.72747252747263	8853
85	116.40659340659349	8848
86	118.08571428571437	8713
87	119.76483516483526	8719
88	121.44395604395615	8598
89	123.12307692307701	8507
