Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	285.54
Elapsed Live Time:	235.41
Start Time:	February 16, 2016, 03:32:13
End Time:	February 16, 2016, 03:36:58
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	78772	5236	25	490

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	47
1	-24.63956043956035	107
2	-22.96043956043947	245
3	-21.28131868131859	1844
4	-19.60219780219771	1588
5	-17.923076923076835	410
6	-16.243956043955954	452
7	-14.564835164835074	678
8	-12.885714285714196	1753
9	-11.206593406593317	2573
10	-9.527472527472437	2887
11	-7.8483516483515565	3062
12	-6.16923076923068	3378
13	-4.4901098901097996	3509
14	-2.8109890109889193	3629
15	-1.1318681318680426	3812
16	0.5472527472528377	3758
17	2.226373626373718	3657
18	3.9054945054945946	3521
19	5.584615384615475	3298
20	7.263736263736355	3168
21	8.942857142857235	3144
22	10.621978021978116	3130
23	12.301098901098989	3225
24	13.980219780219869	3265
25	15.65934065934075	3295
26	17.33846153846163	3671
27	19.01758241758251	3912
28	20.69670329670339	4378
29	22.375824175824263	4668
30	24.054945054945144	4950
31	25.734065934066024	5456
32	27.413186813186904	5825
33	29.092307692307784	6059
34	30.771428571428665	6215
35	32.450549450549545	6675
36	34.12967032967042	6907
37	35.8087912087913	6971
38	37.48791208791218	7158
39	39.16703296703305	7425
40	40.84615384615394	7692
41	42.52527472527481	7508
42	44.2043956043957	7511
43	45.88351648351657	7685
44	47.56263736263746	7587
45	49.24175824175833	7659
46	50.920879120879206	7653
47	52.600000000000094	7632
48	54.27912087912097	7370
49	55.958241758241854	7531
50	57.63736263736273	7612
51	59.316483516483615	7489
52	60.99560439560449	7578
53	62.67472527472536	7349
54	64.35384615384625	7238
55	66.03296703296712	6975
56	67.71208791208801	7161
57	69.39120879120888	6957
58	71.07032967032976	6941
59	72.74945054945064	6841
60	74.42857142857152	6781
61	76.1076923076924	6816
62	77.78681318681328	6847
63	79.46593406593416	6667
64	81.14505494505504	6598
65	82.82417582417591	6723
66	84.5032967032968	6596
67	86.18241758241767	6498
68	87.86153846153856	6383
69	89.54065934065943	6306
70	91.21978021978032	6519
71	92.89890109890119	6334
72	94.57802197802206	6169
73	96.25714285714295	6145
74	97.93626373626383	6161
75	99.61538461538471	6043
76	101.29450549450559	5906
77	102.97362637362647	6070
78	104.65274725274733	5835
79	106.33186813186822	5746
80	108.0109890109891	5819
81	109.69010989011	5701
82	111.36923076923085	5655
83	113.04835164835174	5509
84	114.72747252747263	5542
85	116.40659340659349	5614
86	118.08571428571437	5449
87	119.76483516483526	5316
88	121.44395604395615	5324
89	123.12307692307701	5255
