Thickness in mm	Countrate N1	% Error in N1	Countrate N2	% Error in N2
1	406.078638752	75.5209399757	0.0051759302838	0.0135924059109
2	394.042629117	73.181300955	0.00599800468788	0.0136019104782
8	352.798556869	67.2395417388	0.00676505550092	0.0142522838651
16	301.809094112	61.8997848155	0.0091004094423	0.015450471908
40	183.388294271	44.9812040009	0.0153284957852	0.0190128215756
61	118.990075139	32.1767635238	0.0187425424006	0.0222614612187
