Piezo Voltage	Idler Rate	Coinc 1&2	Coinc 1&3
35.000000	129893.660295	2830.588917	3655.794155
35.300000	129932.561251	2816.038865	3715.787381
35.600000	129955.663877	2844.452814	3637.728101
35.900000	129790.266674	2822.238645	3605.593858
36.200000	129939.464804	2843.752924	3690.519802
36.500000	129815.971871	2843.537291	3594.094344
36.800000	129850.269212	2834.737795	3584.694882
37.100000	129829.471098	2793.260862	3582.136841
37.400000	129688.769843	2829.938070	3608.693509
37.700000	129910.271751	2888.634849	3583.095145
38.000000	129846.470125	2890.445584	3583.536621
38.300000	129834.646661	2853.436861	3585.295019
38.600000	129966.194514	2872.635626	3596.994178
38.900000	129917.472258	2843.553091	3573.938300
39.200000	129649.166178	2842.137372	3579.895157
39.500000	129384.802712	2833.754631	3578.137640
39.800000	129406.201488	2802.559534	3579.137483
40.100000	129635.235240	2846.137278	3585.694996
40.400000	129527.988349	2845.652626	3606.433021
40.700000	129654.838059	2861.436404	3627.992578
41.000000	129745.190140	2846.237137	3650.091140
41.300000	129362.104009	2811.358017	3629.929327
41.600000	129945.895148	2830.438041	3652.191020
41.900000	129738.330334	2834.837924	3640.491863
42.200000	129870.168769	2802.359432	3668.423275
42.500000	129880.320235	2812.039094	3674.089767
42.800000	130002.061222	2811.857939	3699.518387
43.100000	129858.130241	2799.739798	3704.987999
43.400000	129795.839049	2805.358961	3670.822898
43.700000	129690.079074	2845.152704	3699.018465
44.000000	129842.712864	2794.140251	3695.188736
44.300000	129726.880908	2815.338905	3668.790070
44.600000	129665.080505	2792.640204	3717.587278
44.900000	129904.407019	2800.659699	3706.517287
45.200000	129761.907265	2804.539523	3684.289183
45.500000	129656.780979	2794.460674	3704.217648
45.800000	129928.083449	2804.639651	3702.888296
46.100000	129815.071922	2774.163865	3720.415102
46.400000	129874.548846	2806.287869	3679.558642
46.700000	129650.658778	2816.738825	3697.488428
47.000000	130003.667330	2776.963557	3686.720575
47.300000	129851.662306	2801.939672	3667.490145
47.600000	129925.098248	2786.440559	3670.289984
47.900000	129918.865983	2790.461303	3634.828557
48.200000	129664.888236	2813.153832	3631.198388
48.500000	129739.082457	2803.959181	3615.831544
48.800000	129819.977832	2826.155691	3601.233838
49.100000	130126.400297	2848.237023	3601.993892
49.400000	129904.972972	2829.855109	3597.234467
49.700000	129902.211708	2845.837160	3574.595460
50.000000	129995.263027	2877.147674	3546.842390
50.300000	129756.175292	2866.135998	3569.195769
50.600000	130048.586059	2877.835329	3532.397875
50.900000	129835.747395	2881.714082	3553.085799
51.200000	130177.651175	2851.836817	3613.093257
51.500000	129788.575060	2863.236164	3597.494150
51.800000	129952.270268	2880.147203	3584.736432
52.100000	130018.666472	2861.450142	3598.134326
52.400000	129833.253567	2869.535804	3620.092857
52.700000	129712.683966	2875.348094	3594.935000
53.000000	130072.268653	2858.336445	3662.190448
53.300000	129849.473159	2839.437526	3670.089996
53.600000	129783.979890	2816.557200	3634.228651
53.900000	129950.173936	2805.039494	3677.889549
54.200000	130090.080352	2818.838839	3701.188393
54.500000	129865.769021	2831.354874	3639.227865
54.800000	129958.731512	2828.138307	3686.889210
55.100000	129911.266418	2799.659856	3685.820540
55.400000	130080.030176	2820.038636	3733.386374
55.700000	130068.387892	2793.040314	3726.486946
56.000000	130111.254974	2816.938813	3726.814096
56.300000	130019.430597	2758.742275	3709.887895
56.600000	130120.330388	2787.240513	3722.686986
56.900000	130122.060561	2779.962953	3731.613341
57.200000	130068.885426	2778.141033	3730.386546
57.500000	129967.569393	2796.460493	3664.124126
57.800000	130175.157525	2812.258010	3667.723560
58.100000	129865.195217	2792.540210	3669.390036
58.400000	130149.152806	2771.564273	3654.025539
58.700000	129986.294867	2837.532972	3639.656457
59.000000	130013.261182	2833.737852	3664.690305
59.300000	129987.568250	2842.753082	3624.730145
59.600000	130054.755475	2813.938985	3640.991661
59.900000	130051.073727	2831.738102	3595.794418
60.200000	130070.157326	2847.452343	3592.535206
60.500000	130107.892051	2867.535918	3620.192851
60.800000	130130.053899	2830.854952	3576.437737
61.100000	130162.652033	2861.850079	3580.937029
61.400000	130095.962053	2836.637822	3593.194567
61.700000	130085.262665	2881.247167	3564.539777
62.000000	130122.221015	2853.036748	3607.793560
62.300000	130119.733348	2875.735449	3592.694424
62.600000	130064.357658	2868.549026	3605.533163
62.900000	129862.608043	2838.737566	3627.492433
63.200000	130141.525314	2846.837238	3626.792646
63.500000	130042.958882	2828.255361	3618.631103
63.800000	130191.682867	2875.035626	3644.391640
64.100000	129855.569605	2823.856053	3630.429249
64.400000	129975.050610	2819.338676	3693.788640
64.700000	130272.575634	2796.240131	3671.590085
