# muB 	 delta_muB 	 rmg 	 delta_rmg
1.972000000000000228e-03	4.002191399720908278e-04	1.381800000000000078e-10	6.909000000000001105e-06
2.067200000000000374e-03	4.189947894664086485e-04	6.909000000000000427e-05	6.909173756680317322e-06
2.298399999999999922e-03	4.646823672144231561e-04	1.381800000000000085e-04	6.909695000504726354e-06
2.448000000000000089e-03	4.942996661945060462e-04	2.072700000000000128e-04	6.910563652843377393e-06
2.611200000000000153e-03	5.266484763103374206e-04	2.763600000000000171e-04	6.911779582712401601e-06
2.720000000000000195e-03	5.482335268843014546e-04	3.454500000000000214e-04	6.913342606872597376e-06
2.883200000000000259e-03	5.806355910551816045e-04	4.145400000000000256e-04	6.915252489967376439e-06
3.060000000000000220e-03	6.157661893933444449e-04	4.836300000000000299e-04	6.917508944699674297e-06
