# omega 	 delta_omega 	 B 	 delta_B
4.705800859181835105e-01	8.088675853804673521e-02	1.156000000000000126e-03	2.409926139947032105e-04
5.506735589114448715e-01	9.465381244522348692e-02	1.360000000000000098e-03	2.803711825420010084e-04
7.923310601739705916e-01	1.361916771752837430e-01	2.040000000000000147e-03	4.136278520602790112e-04
1.146566661894085071e+00	1.970802919708029288e-01	2.720000000000000195e-03	5.482335268843014546e-04
1.396263401595463582e+00	2.400000000000000189e-01	3.400000000000000244e-03	6.833915422362206492e-04
1.675516081914556255e+00	2.880000000000000338e-01	4.080000000000000293e-03	8.188284313578762449e-04
