Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	359.07
Elapsed Live Time:	347.56
Start Time:	February 18, 2016, 02:50:41
End Time:	February 18, 2016, 02:56:40
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	4842	-3	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	0
10	35.62222222222207	0
11	39.017777777777624	0
12	42.413333333333185	2
13	45.80888888888874	1
14	49.20444444444429	4
15	52.59999999999985	1
16	55.995555555555406	3
17	59.39111111111096	2
18	62.78666666666652	10
19	66.18222222222207	3
20	69.57777777777763	2
21	72.97333333333319	3
22	76.36888888888873	2
23	79.7644444444443	2
24	83.15999999999985	4
25	86.5555555555554	6
26	89.95111111111096	3
27	93.34666666666652	2
28	96.74222222222207	3
29	100.13777777777763	2
30	103.53333333333319	2
31	106.92888888888874	2
32	110.3244444444443	3
33	113.71999999999986	4
34	117.1155555555554	5
35	120.51111111111096	5
36	123.90666666666652	6
37	127.30222222222207	6
38	130.69777777777762	6
39	134.0933333333332	9
40	137.48888888888874	12
41	140.88444444444428	14
42	144.27999999999986	499
43	147.6755555555554	12758
44	151.07111111111095	13642
45	154.46666666666653	13003
46	157.86222222222207	12740
47	161.25777777777762	12300
48	164.6533333333332	12064
49	168.04888888888874	11785
50	171.4444444444443	11331
51	174.83999999999986	11093
52	178.2355555555554	10911
53	181.63111111111095	10788
54	185.02666666666653	10240
55	188.42222222222208	10114
56	191.81777777777762	9777
57	195.2133333333332	9503
58	198.60888888888874	9285
59	202.0044444444443	9179
60	205.39999999999986	8937
61	208.7955555555554	8814
62	212.19111111111096	8619
63	215.58666666666653	8475
64	218.98222222222208	8192
65	222.37777777777762	7997
66	225.7733333333332	7863
67	229.16888888888874	7606
68	232.5644444444443	7512
69	235.95999999999987	7383
70	239.3555555555554	7050
71	242.75111111111096	6857
72	246.14666666666653	6771
73	249.54222222222208	6602
74	252.93777777777763	6396
75	256.3333333333332	6179
76	259.7288888888887	6115
77	263.1244444444443	5943
78	266.51999999999987	5788
79	269.9155555555554	5724
80	273.31111111111096	5589
81	276.70666666666654	5500
82	280.10222222222205	5356
83	283.4977777777776	5257
84	286.8933333333332	5128
85	290.2888888888887	5030
86	293.6844444444443	5025
87	297.07999999999987	4950
88	300.4755555555554	4637
89	303.87111111111096	4642
90	307.26666666666654	4642
91	310.66222222222206	4629
92	314.05777777777763	4459
93	317.4533333333332	4413
94	320.8488888888887	4226
95	324.2444444444443	4206
96	327.6399999999999	4123
97	331.0355555555554	4114
98	334.43111111111097	4148
99	337.82666666666654	3925
100	341.22222222222206	3980
101	344.61777777777763	3853
102	348.0133333333332	3679
103	351.4088888888887	3810
104	354.8044444444443	3688
105	358.1999999999999	3763
106	361.5955555555554	3611
107	364.99111111111097	3452
108	368.38666666666654	3389
109	371.78222222222206	3383
110	375.17777777777764	3432
111	378.5733333333332	3265
112	381.9688888888887	3232
113	385.3644444444443	3319
114	388.7599999999999	3166
115	392.1555555555554	3130
116	395.55111111111097	3098
117	398.94666666666654	3031
118	402.34222222222206	3086
119	405.73777777777764	3017
120	409.1333333333332	2926
121	412.52888888888873	2991
122	415.9244444444443	2838
123	419.3199999999999	2961
124	422.7155555555554	2863
125	426.111111111111	2892
126	429.50666666666655	2835
127	432.90222222222206	2782
128	436.29777777777764	2728
129	439.6933333333332	2871
130	443.08888888888873	2890
131	446.4844444444443	2862
132	449.8799999999999	2737
133	453.2755555555554	2849
134	456.671111111111	2849
135	460.06666666666655	2775
136	463.46222222222207	2830
137	466.85777777777764	2750
138	470.2533333333332	2861
139	473.64888888888873	2850
140	477.0444444444443	2753
141	480.4399999999999	2795
142	483.8355555555554	2711
143	487.231111111111	2721
144	490.62666666666655	2763
145	494.02222222222207	2721
146	497.41777777777764	2645
147	500.8133333333332	2620
148	504.20888888888874	2541
149	507.6044444444443	2532
150	510.9999999999999	2480
151	514.3955555555555	2362
152	517.7911111111109	2320
153	521.1866666666665	2330
154	524.5822222222221	2231
155	527.9777777777776	2125
156	531.3733333333332	2115
157	534.7688888888888	2027
158	538.1644444444443	2007
159	541.5599999999998	1855
160	544.9555555555554	1863
161	548.351111111111	1879
162	551.7466666666666	1817
163	555.1422222222221	1770
164	558.5377777777776	1678
165	561.9333333333332	1696
166	565.3288888888887	1616
167	568.7244444444443	1573
168	572.1199999999999	1619
169	575.5155555555555	1554
170	578.9111111111109	1537
171	582.3066666666665	1571
172	585.7022222222221	1533
173	589.0977777777777	1551
174	592.4933333333332	1548
175	595.8888888888888	1545
176	599.2844444444443	1468
177	602.6799999999998	1517
178	606.0755555555554	1521
179	609.471111111111	1485
180	612.8666666666666	1537
181	616.2622222222221	1581
182	619.6577777777776	1482
183	623.0533333333332	1525
184	626.4488888888887	1468
185	629.8444444444443	1474
186	633.2399999999999	1397
187	636.6355555555555	1485
188	640.0311111111109	1399
189	643.4266666666665	1368
190	646.8222222222221	1377
191	650.2177777777777	1360
192	653.6133333333332	1354
193	657.0088888888888	1280
