Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	2048
Coarse Gain:	1
Fine Gain:	1.0
Upper Discriminator:	3018
Lower Discriminator:	58
Calibration Coefficients:	13.286432160803997	1.3819095477386936
Calibration Channels:	49	248
Calibration Energies:	81.0	356.0
Elapsed Real Time:	87.25
Elapsed Live Time:	77.54
Start Time:	February 23, 2016, 03:20:35
End Time:	February 23, 2016, 03:22:01
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	13.286432160803997	0
1	14.668341708542691	0
2	16.050251256281385	0
3	17.43216080402008	0
4	18.814070351758772	0
5	20.195979899497466	0
6	21.57788944723616	0
7	22.959798994974854	0
8	24.341708542713548	0
9	25.72361809045224	0
10	27.105527638190935	0
11	28.48743718592963	0
12	29.86934673366832	0
13	31.251256281407013	0
14	32.63316582914571	0
15	34.0150753768844	0
16	35.3969849246231	0
17	36.778894472361785	0
18	38.160804020100485	0
19	39.54271356783917	0
20	40.92462311557787	0
21	42.30653266331656	0
22	43.68844221105526	0
23	45.07035175879395	0
24	46.45226130653264	0
25	47.834170854271335	0
26	49.21608040201003	0
27	50.59798994974872	0
28	51.979899497487416	0
29	53.36180904522611	0
30	54.743718592964804	0
31	56.1256281407035	0
32	57.50753768844219	0
33	58.889447236180885	1
34	60.27135678391958	438
35	61.65326633165827	9008
36	63.03517587939697	19728
37	64.41708542713566	20282
38	65.79899497487435	14651
39	67.18090452261305	12822
40	68.56281407035175	12100
41	69.94472361809044	11364
42	71.32663316582912	9857
43	72.70854271356782	10455
44	74.09045226130652	10976
45	75.47236180904521	21581
46	76.8542713567839	72382
47	78.2361809045226	186847
48	79.61809045226128	179593
49	80.99999999999999	57730
50	82.38190954773867	11698
51	83.76381909547737	8169
52	85.14572864321606	6985
53	86.52763819095476	7056
54	87.90954773869345	6666
55	89.29145728643215	7078
56	90.67336683417084	7221
57	92.05527638190954	7328
58	93.43718592964822	7014
59	94.81909547738692	7086
60	96.20100502512561	6794
61	97.58291457286431	7086
62	98.964824120603	7103
63	100.3467336683417	6973
64	101.72864321608039	6744
65	103.11055276381907	7286
66	104.49246231155777	7011
67	105.87437185929646	8015
68	107.25628140703516	10339
69	108.63819095477385	14664
70	110.02010050251255	14494
71	111.40201005025123	9549
72	112.78391959798994	7107
73	114.16582914572862	7271
74	115.54773869346732	5408
75	116.92964824120601	4573
76	118.31155778894471	4261
77	119.6934673366834	4427
78	121.0753768844221	4338
79	122.45728643216079	4432
80	123.83919597989949	4330
81	125.22110552763817	4514
82	126.60301507537687	4209
83	127.98492462311556	4384
84	129.36683417085425	4360
85	130.74874371859295	4762
86	132.13065326633165	4660
87	133.51256281407035	4758
88	134.89447236180905	4688
89	136.27638190954772	4783
90	137.65829145728642	4794
91	139.0402010050251	5203
92	140.4221105527638	4848
93	141.8040201005025	4989
94	143.1859296482412	4748
95	144.5678391959799	4938
96	145.94974874371857	4913
97	147.33165829145727	5208
98	148.71356783919597	5139
99	150.09547738693465	5328
100	151.47738693467335	5481
101	152.85929648241205	5610
102	154.24120603015075	5369
103	155.62311557788942	5791
104	157.00502512562812	6410
105	158.38693467336682	7870
106	159.76884422110552	6740
107	161.1507537688442	5291
108	162.5326633165829	4827
109	163.9145728643216	4612
110	165.2964824120603	4484
111	166.67839195979897	4419
112	168.06030150753767	4332
113	169.44221105527637	4485
114	170.82412060301507	4200
115	172.20603015075375	4342
116	173.58793969849245	4238
117	174.96984924623115	4217
118	176.35175879396985	3958
